State,Population
Alabama,4461130
Alaska,628933
Arizona,5140683
Arkansas,2679733
California,33930798
Colorado,4311882
Connecticut,3409535
Delaware,785068
Florida,16028890
Georgia,8206975
Hawaii,1216642
Idaho,1297274
Illinois,12439042
Indiana,6090782
Iowa,2931923
Kansas,2693824
Kentucky,4049431
Louisiana,4480271
Maine,1277731
Maryland,5307886
Massachusetts,6355568
Michigan,9955829
Minnesota,4925670
Mississippi,2852927
Missouri,5606260
Montana,905316
Nebraska,1715369
Nevada,2002032
New Hampshire,1238415
New Jersey,8424354
New Mexico,1823821
New York,19004973
North Carolina,8067673
North Dakota,643756
Ohio,11374540
Oklahoma,3458819
Oregon,3428543
Pennsylvania,12300670
Rhode Island,1049662
South Carolina,4025061
South Dakota,756874
Tennessee,5700037
Texas,20903994
Utah,2236714
Vermont,609890
Virginia,7100702
Washington,5908684
West Virginia,1813077
Wisconsin,5371210
Wyoming,495304
